Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,663640386,8514.169603775606,1682035,21.579656048067424,197136,6713093,86.12557881297899,8685,0.11142414561971987,1081,
United States of America,Americas,100304472,30303.223,0,0,0,1088854,328.956,0,0,0
India,South-East Asia,44681650,3237.79,893,0.065,145,530728,38.458,3,0,0
France,Europe,38372611,58999.061,35304,54.281,3997,160051,246.083,461,0.709,63
Germany,Europe,37659518,45281.961,61052,73.409,7535,164585,197.898,66,0.079,8
Brazil,Americas,36677844,17255.337,98979,46.565,12797,695615,327.257,527,0.248,91
Japan,Western Pacific,31819310,25158.286,787106,622.334,96392,64220,50.776,2939,2.324,451
Republic of Korea,Western Pacific,29955366,58427.623,217597,424.421,27408,33134,64.628,267,0.521,30
Italy,Europe,25363742,42527.011,0,0,0,185993,311.852,0,0,0
The United Kingdom,Europe,24259240,35735.26,12070,17.78,928,203229,299.368,415,0.611,0
Russian Federation,Europe,21882414,14994.686,35692,24.458,6078,394610,270.402,301,0.206,41
Türkiye,Europe,17004677,20162.278,0,0,0,101419,120.252,0,0,0
Spain,Europe,13711251,28967.872,17773,37.549,0,117759,248.79,350,0.739,0
Viet Nam,Western Pacific,11526284,11841.434,250,0.257,30,43186,44.367,0,0,0
Australia,Western Pacific,11269081,44192.676,30157,118.263,0,16989,66.624,310,1.216,0
China,Western Pacific,11001439,747.743,146070,9.928,19261,34375,2.336,677,0.046,95
Argentina,Americas,10024095,22179.275,19416,42.96,0,130338,288.385,89,0.197,0
Netherlands,Europe,8578818,49282.069,1360,7.813,0,22992,132.08,0,0,0
Iran (Islamic Republic of),Eastern Mediterranean,7562998,9004.325,627,0.746,0,144728,172.31,6,0.007,0
Mexico,Americas,7314891,5673.416,5757,4.465,0,331595,257.184,45,0.035,0
Indonesia,South-East Asia,6727609,2459.608,2151,0.786,292,160772,58.778,53,0.019,8
Poland,Europe,6374976,16794.754,2075,5.467,331,118678,312.655,38,0.1,3
Colombia,Americas,6354791,12489.053,4820,9.473,4820,142385,279.829,126,0.248,126
Austria,Europe,5749735,64596.042,13095,147.117,1970,21595,242.611,33,0.371,0
Greece,Europe,5683897,53028.526,34501,321.881,0,35392,330.193,186,1.735,0
Portugal,Europe,5562214,54023.535,2036,19.775,0,25942,251.964,41,0.398,0
Ukraine,Europe,5367032,12272.057,2710,6.197,0,110978,253.758,58,0.133,0
Chile,Americas,5096886,26662.651,18313,95.798,2984,63599,332.697,162,0.847,42
Malaysia,Western Pacific,5033943,15553.183,2117,6.541,318,36923,114.08,18,0.056,0
Israel,Europe,4779748,55221.828,4636,53.561,638,12141,140.269,13,0.15,0
Thailand,South-East Asia,4725885,6770.611,969,1.388,0,33792,48.413,65,0.093,0
Belgium,Europe,4688927,40693.872,2059,17.869,3,33525,290.954,33,0.286,3
Czechia,Europe,4586356,42887.434,1755,16.411,298,42275,395.317,20,0.187,2
Canada,Americas,4524782,11988.669,16540,43.824,0,49871,132.136,279,0.739,0
Peru,Americas,4477064,13578.442,5338,16.19,941,218580,662.929,125,0.379,26
Switzerland,Europe,4384900,50665.437,500,5.777,0,13902,160.631,0,0,0
Philippines,Western Pacific,4071151,3715.195,2004,1.829,251,65654,59.914,128,0.117,17
South Africa,Africa,4051891,6831.867,831,1.401,0,102568,172.939,0,0,0
Denmark,Europe,3397927,58355.921,1584,27.204,227,8053,138.302,82,1.408,14
Romania,Europe,3319680,17174.752,3488,18.046,0,67504,349.24,44,0.228,0
Sweden,Europe,2690473,26051.317,2556,24.749,369,23020,222.898,88,0.852,0
Iraq,Eastern Mediterranean,2465545,6129.767,0,0,0,25375,63.087,0,0,0
Serbia,Europe,2463173,35560.53,5859,84.586,820,17635,254.594,51,0.736,5
Singapore,Western Pacific,2213435,37834.284,2802,47.895,344,1719,29.383,2,0.034,1
Hungary,Europe,2185816,22373.818,0,0,0,48495,496.391,0,0,0
New Zealand,Western Pacific,2114997,43859.287,17311,358.983,0,2437,50.537,44,0.912,0
Bangladesh,South-East Asia,2037408,1237.122,62,0.038,0,29441,17.877,0,0,0
Slovakia,Europe,1860366,34085.916,325,5.955,51,20897,382.878,31,0.568,3
Georgia,Europe,1811015,45398.234,0,0,0,16909,423.872,0,0,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1699347,34230.387,1227,24.716,0,8431,169.828,43,0.866,0
Pakistan,Eastern Mediterranean,1576109,713.519,92,0.042,0,30640,13.871,1,0,0
Kazakhstan,Europe,1495961,7967.111,567,3.02,81,19065,101.535,2,0.011,1
Norway,Europe,1477276,27522.198,420,7.825,24,5036,93.823,53,0.987,0
Finland,Europe,1449829,26239.862,681,12.325,5,8557,154.87,0,0,0
Slovenia,Europe,1319207,62943.439,2241,106.925,260,8966,427.796,6,0.286,1
Bulgaria,Europe,1294697,18624.762,748,10.76,93,38157,548.905,21,0.302,3
Lithuania,Europe,1293928,46309.46,1620,57.98,218,9526,340.934,10,0.358,0
